alpha,Test_RMSE,Test_MAE,Test_R2,Test_slope,Test_int
0.0001,1.2607616656188392,1.040542964100582,0.004687126820983045,0.8872734223311046,1.1917120069482363
0.001,1.2601163229675,1.0400223558560875,0.005705802238001656,0.8868093362707561,1.192786662450796
0.01,1.25408674509238,1.0351252867044718,0.015198308477239575,0.8824534946787427,1.2028268218370477
0.1,1.21392739742826,1.0003660516996564,0.07726061675763574,0.8534499488164202,1.267363543015368
1,1.0577692870412227,0.8457553552763443,0.29939128334261267,0.7375349816168387,1.5076794290413345
10,0.9600429682033217,0.7565689252538006,0.4228682426042689,0.5177790024902931,2.0354633729609732
