alpha,Test_RMSE,Test_MAE,Test_R2,Test_slope,Test_int
0.0001,2.5849948741928435,2.0662662328409502,-3.1842054720685633,1.2400336239297696,0.3516152317968212
0.001,2.5039994255197353,2.004874354657743,-2.926106538255206,1.2199150547975266,0.3984888261299297
0.01,1.9558917532803024,1.5799447902276438,-1.3954287721964809,1.078979080872489,0.72676820067269
0.1,1.1083407807288816,0.8707951901123233,0.23079826201967713,0.7942116628862357,1.388294578514698
1,0.9518136408911235,0.7555776582467418,0.43271999035739606,0.6260020715463511,1.7812030216006858
10,0.9537364294769122,0.7561092166369446,0.43042571505108906,0.4845942186941276,2.2386257076328135
